Project_ID,Manager_Experience,Team_Size,Budget_kUSD,Duration_days,Domain,Priority,Risk_Score,Status
P0465,9,16,834.68,351,Operations,Low,88.92,Delayed
P0466,17,20,145.61,35,Marketing,Medium,25.14,On Schedule
P0467,17,9,277.88,87,Finance,Low,45.0,At Risk
P0468,20,5,184.87,354,Operations,Medium,41.3,At Risk
P0469,16,14,380.54,347,HR,Low,67.28,Delayed
P0470,13,5,477.83,198,HR,Medium,25.12,On Schedule
P0471,19,16,761.39,111,IT,Low,53.44,At Risk
P0472,17,17,668.59,248,Marketing,Medium,49.56,At Risk
P0473,4,16,639.88,206,Finance,Low,74.49,Delayed
P0474,12,9,384.76,233,IT,Medium,39.29,At Risk
P0475,9,19,849.38,100,Marketing,High,46.83,At Risk
P0476,19,14,497.72,295,Operations,Low,51.94,At Risk
P0477,12,6,980.15,127,HR,Medium,47.81,At Risk
P0478,9,11,652.44,320,Finance,Low,71.23,Delayed
P0479,7,8,169.95,237,HR,Low,45.49,At Risk
P0480,14,18,692.37,31,Operations,Medium,46.5,At Risk
P0481,20,4,358.85,153,Marketing,Low,28.16,On Schedule
P0482,19,10,702.01,309,Operations,Medium,58.27,At Risk
P0483,15,13,116.16,103,Operations,High,15.59,On Schedule
P0484,16,15,216.14,195,HR,Low,44.25,At Risk
P0485,5,19,862.95,51,Finance,High,57.82,At Risk
P0486,3,10,265.82,183,Operations,Low,56.79,At Risk
P0487,12,20,845.19,324,HR,Low,82.36,Delayed
P0488,20,20,315.31,248,Finance,Low,63.7,At Risk
P0489,4,16,660.74,186,Marketing,Medium,55.0,At Risk
P0490,16,17,709.44,259,Marketing,High,42.53,At Risk
P0491,7,8,537.02,49,IT,Low,47.36,At Risk
P0492,13,13,340.05,70,HR,Medium,29.71,On Schedule
P0493,10,15,252.01,177,Finance,Low,60.55,At Risk
P0494,7,3,81.53,137,Operations,Medium,28.82,On Schedule
P0495,14,8,338.75,113,Marketing,Low,31.01,On Schedule
P0496,5,11,670.5,351,Finance,High,65.27,At Risk
P0497,3,10,941.39,338,HR,High,61.06,At Risk
P0498,11,13,877.64,319,IT,Low,80.63,Delayed
P0499,11,11,777.76,352,Marketing,Medium,55.32,At Risk
P0500,18,19,799.02,163,Finance,Low,71.65,Delayed
P0501,15,14,681.74,236,Finance,Medium,59.19,At Risk
P0502,12,16,297.27,312,Finance,Low,65.87,At Risk
P0503,9,17,911.84,295,HR,Medium,74.43,Delayed
P0504,10,18,687.2,102,HR,High,43.71,At Risk
P0505,12,3,582.42,77,HR,Low,42.66,At Risk
P0506,17,12,155.44,355,Operations,High,43.24,At Risk
P0507,6,10,474.7,262,Finance,High,51.16,At Risk
P0508,7,20,487.34,129,Marketing,Low,53.82,At Risk
P0509,14,3,871.34,88,HR,Low,41.51,At Risk
P0510,13,4,569.32,287,HR,Medium,43.97,At Risk
P0511,8,3,411.38,94,Finance,Medium,39.27,At Risk
P0512,10,3,977.96,112,HR,High,33.0,On Schedule
P0513,9,11,155.18,183,Operations,Medium,37.5,At Risk
P0514,18,15,451.42,295,Operations,Medium,59.76,At Risk
P0515,2,3,89.92,338,HR,Low,52.3,At Risk
P0516,5,15,752.91,108,Finance,Medium,57.22,At Risk
P0517,5,9,922.17,344,Finance,High,71.47,Delayed
P0518,6,4,316.04,179,Finance,Medium,41.17,At Risk
P0519,19,8,865.42,77,IT,High,21.8,On Schedule
P0520,8,9,327.61,277,HR,Low,59.67,At Risk
P0521,16,16,915.23,307,Finance,High,58.94,At Risk
P0522,13,20,766.26,127,Operations,Medium,57.2,At Risk
P0523,1,17,814.66,54,Marketing,Low,62.85,At Risk
P0524,20,4,67.11,313,Marketing,Medium,24.58,On Schedule
P0525,17,12,964.67,330,Finance,Low,68.14,Delayed
P0526,7,14,740.34,97,Marketing,Low,54.48,At Risk
P0527,13,19,339.51,36,Marketing,Medium,36.08,At Risk
P0528,4,10,837.92,334,IT,Medium,76.76,Delayed
P0529,4,13,317.45,166,Operations,Low,53.18,At Risk
P0530,6,5,879.12,193,Operations,Low,68.95,Delayed
P0531,19,8,156.95,112,IT,Medium,16.49,On Schedule
P0532,12,11,718.5,167,IT,High,38.56,At Risk
P0533,7,8,563.66,102,Marketing,Medium,35.34,At Risk
P0534,10,11,141.71,266,HR,Low,49.92,At Risk
P0535,19,9,279.8,75,Marketing,Medium,21.3,On Schedule
P0536,7,11,61.78,135,IT,High,25.43,On Schedule
P0537,3,20,495.33,317,Operations,Medium,72.87,Delayed
P0538,13,14,336.2,291,Marketing,Low,58.62,At Risk
P0539,13,10,618.44,205,HR,Medium,41.9,At Risk
P0540,18,10,332.38,195,Marketing,Low,37.94,At Risk
P0541,20,20,334.92,174,Finance,Low,58.02,At Risk
P0542,8,17,756.03,359,Marketing,Medium,72.43,Delayed
P0543,9,9,95.74,312,IT,Low,50.34,At Risk
P0544,7,13,907.75,83,Operations,Low,57.92,At Risk
P0545,1,18,859.65,207,Operations,High,67.34,Delayed
P0546,3,6,684.41,273,IT,High,43.73,At Risk
P0547,13,8,613.56,156,Finance,High,35.9,At Risk
P0548,17,5,897.69,300,IT,High,49.82,At Risk
P0549,1,11,226.06,161,Marketing,Low,51.81,At Risk
P0550,6,12,125.02,122,IT,Medium,26.84,On Schedule
P0551,6,16,277.53,102,IT,Low,51.79,At Risk
P0552,12,13,804.85,277,Finance,Low,73.33,Delayed
P0553,13,20,82.94,302,Marketing,Low,48.95,At Risk
P0554,13,14,603.67,72,HR,Medium,40.19,At Risk
P0555,15,14,995.67,70,HR,High,36.71,At Risk
P0556,16,15,862.91,199,Operations,Low,63.96,At Risk
P0557,11,15,545.37,241,IT,Low,63.98,At Risk
P0558,5,16,110.46,197,Operations,High,36.35,At Risk
P0559,4,6,839.8,68,Finance,Low,60.06,At Risk
P0560,3,15,619.03,274,HR,Medium,62.36,At Risk
P0561,19,10,159.19,180,IT,Low,33.46,At Risk
P0562,20,14,139.16,140,Finance,Low,43.92,At Risk
P0563,18,20,914.15,76,Finance,High,51.23,At Risk
P0564,15,8,685.74,92,IT,Low,37.6,At Risk
P0565,9,20,837.82,254,Finance,Low,86.91,Delayed
P0566,17,7,885.03,98,IT,Medium,45.46,At Risk
P0567,14,11,593.18,328,IT,High,54.13,At Risk
P0568,15,5,541.57,319,Marketing,High,36.2,At Risk
P0569,1,12,458.91,325,Operations,Medium,62.15,At Risk
P0570,3,5,351.1,232,Finance,Low,61.59,At Risk
P0571,16,17,462.87,90,Finance,High,30.25,On Schedule
P0572,11,3,785.19,347,Marketing,High,42.91,At Risk
P0573,12,9,621.83,343,Marketing,Low,63.75,At Risk
P0574,10,14,897.9,190,Marketing,Low,61.23,At Risk
P0575,16,19,471.21,360,HR,High,46.17,At Risk
P0576,8,7,626.74,45,HR,Low,45.37,At Risk
P0577,6,6,649.74,123,HR,High,41.61,At Risk
P0578,12,14,612.11,333,IT,Low,75.84,Delayed
P0579,8,20,717.5,167,Finance,Low,77.62,Delayed
P0580,4,19,275.56,67,Operations,Medium,50.35,At Risk
P0581,8,11,536.75,156,IT,Low,58.05,At Risk
P0582,18,6,149.01,304,Finance,Medium,39.58,At Risk
P0583,5,4,415.29,193,Finance,Low,58.65,At Risk
P0584,9,6,513.28,348,Marketing,High,35.99,At Risk
P0585,4,4,669.61,106,Marketing,High,30.82,On Schedule
P0586,17,17,953.0,203,IT,Low,67.88,Delayed
P0587,9,4,620.62,350,Marketing,Low,60.59,At Risk
P0588,1,6,756.41,120,Finance,High,44.83,At Risk
P0589,20,8,530.95,267,Marketing,Low,47.68,At Risk
P0590,13,9,652.4,293,HR,Medium,48.56,At Risk
P0591,16,12,117.39,208,Marketing,Medium,26.3,On Schedule
P0592,13,14,291.67,238,Finance,Medium,46.28,At Risk
P0593,14,5,393.76,102,IT,Medium,30.72,On Schedule
P0594,3,15,498.87,136,Operations,Medium,54.36,At Risk
P0595,6,20,93.37,324,Marketing,Low,60.83,At Risk
P0596,18,10,183.02,313,Finance,Low,50.36,At Risk
P0597,19,17,312.97,211,Operations,Medium,42.62,At Risk
P0598,5,3,972.96,66,Operations,Low,63.59,At Risk
P0599,15,5,364.78,166,HR,Low,31.81,On Schedule
P0600,2,10,507.94,85,Operations,Medium,49.45,At Risk
P0601,10,6,236.29,216,Finance,Low,51.17,At Risk
P0602,18,18,630.24,287,Finance,Low,66.51,Delayed
P0603,13,12,316.65,87,Marketing,Low,42.41,At Risk
P0604,5,14,246.64,152,Marketing,Medium,42.19,At Risk
P0605,1,16,540.74,217,Marketing,Low,65.06,At Risk
P0606,1,16,55.23,259,Operations,High,37.95,At Risk
P0607,18,4,57.28,197,Operations,High,14.55,On Schedule
P0608,15,7,258.12,143,HR,Medium,25.65,On Schedule
P0609,17,7,84.89,281,Marketing,High,14.27,On Schedule
P0610,11,8,152.62,136,IT,Medium,24.29,On Schedule
P0611,17,15,371.92,66,HR,High,24.42,On Schedule
P0612,13,11,812.46,364,IT,High,48.64,At Risk
P0613,1,17,593.45,121,Operations,High,52.4,At Risk
P0614,2,16,537.03,47,HR,Medium,46.22,At Risk
P0615,9,9,328.81,92,HR,Medium,33.47,At Risk
P0616,3,4,935.17,179,Finance,Low,68.45,Delayed
P0617,1,9,427.16,168,Operations,Medium,51.91,At Risk
P0618,16,8,132.74,215,Operations,High,19.7,On Schedule
P0619,6,19,636.21,214,HR,High,53.22,At Risk
P0620,17,4,158.15,234,Operations,Medium,30.86,On Schedule
P0621,5,5,377.96,289,HR,Medium,48.15,At Risk
P0622,5,7,532.04,243,Finance,Medium,57.88,At Risk
P0623,6,7,880.51,285,HR,Low,66.69,Delayed
P0624,3,3,518.87,164,Operations,High,33.71,At Risk
P0625,5,10,717.15,90,Operations,Low,56.08,At Risk
P0626,5,14,993.18,339,HR,Low,84.8,Delayed
P0627,10,6,174.91,117,HR,High,22.32,On Schedule
P0628,10,15,310.99,353,HR,High,46.06,At Risk
P0629,19,17,424.85,236,Marketing,Medium,36.6,At Risk
P0630,17,13,450.74,158,Operations,Medium,42.36,At Risk
P0631,14,12,440.47,340,Operations,Low,70.01,Delayed
P0632,9,5,912.23,32,Marketing,Medium,30.52,On Schedule
P0633,14,16,728.33,271,HR,Medium,67.21,Delayed
P0634,1,18,627.51,150,Finance,High,59.62,At Risk
P0635,19,12,343.9,131,HR,High,24.53,On Schedule
P0636,13,12,832.6,67,HR,Medium,48.92,At Risk
P0637,13,14,957.31,162,Marketing,High,48.35,At Risk
P0638,4,11,830.14,231,Operations,Medium,65.37,At Risk
P0639,1,3,51.49,50,HR,High,18.28,On Schedule
P0640,17,7,654.58,271,Operations,High,40.69,At Risk
P0641,8,10,98.58,138,IT,High,28.31,On Schedule
P0642,2,13,294.73,332,Operations,High,59.42,At Risk
P0643,8,14,106.55,113,Finance,Medium,34.2,At Risk
P0644,7,3,623.61,112,Finance,Low,54.79,At Risk
P0645,2,13,702.26,320,HR,High,60.2,At Risk
P0646,3,7,158.76,98,Operations,Medium,34.62,At Risk
P0647,18,17,414.65,158,HR,Medium,39.28,At Risk
P0648,12,7,483.42,225,Marketing,High,30.22,On Schedule
P0649,1,14,400.6,169,Finance,Low,72.9,Delayed
P0650,12,7,164.97,312,HR,High,24.56,On Schedule
P0651,5,19,448.0,341,Marketing,Medium,57.64,At Risk
P0652,17,19,763.62,263,HR,Low,59.64,At Risk
P0653,16,14,117.46,52,Operations,Medium,29.24,On Schedule
P0654,15,17,126.17,182,Operations,High,26.9,On Schedule
P0655,15,17,387.03,306,Operations,Low,64.84,At Risk
P0656,5,8,944.64,90,Operations,Medium,53.6,At Risk
P0657,14,14,685.14,348,IT,Medium,59.33,At Risk
P0658,2,20,694.74,81,Marketing,Medium,59.13,At Risk
P0659,11,16,393.82,182,Marketing,High,33.58,At Risk
P0660,19,4,613.98,266,Operations,Low,49.49,At Risk
P0661,7,11,59.62,340,IT,High,41.11,At Risk
P0662,6,7,654.29,331,Operations,High,57.36,At Risk
P0663,2,3,917.62,61,IT,High,34.23,At Risk
P0664,6,5,631.94,84,Operations,Low,53.54,At Risk
P0665,18,8,880.01,65,Finance,High,38.78,At Risk
P0666,2,7,737.77,139,Finance,High,41.73,At Risk
P0667,18,7,164.53,206,HR,High,17.99,On Schedule
P0668,15,3,907.33,343,Operations,High,48.51,At Risk
P0669,19,19,113.12,324,Marketing,Medium,44.89,At Risk
P0670,2,16,557.27,365,HR,High,58.3,At Risk
P0671,20,14,185.03,126,Finance,Medium,38.19,At Risk
P0672,6,12,61.12,242,Operations,High,29.26,On Schedule
P0673,1,20,450.93,346,HR,Low,80.39,Delayed
P0674,15,13,330.29,166,Operations,Medium,41.04,At Risk
P0675,10,4,511.7,35,Finance,Medium,29.0,On Schedule
P0676,19,20,598.34,138,HR,Medium,40.7,At Risk
P0677,17,9,91.55,64,Finance,Medium,22.4,On Schedule
P0678,5,17,166.85,68,IT,Low,47.53,At Risk
P0679,4,13,580.71,179,Finance,High,51.0,At Risk
P0680,10,20,376.01,147,Operations,Medium,54.32,At Risk
P0681,17,14,742.71,290,Marketing,Low,60.13,At Risk
P0682,10,8,669.68,116,Finance,Medium,48.01,At Risk
P0683,17,15,853.32,105,Marketing,High,32.07,On Schedule
P0684,20,18,707.87,342,IT,Medium,58.25,At Risk
P0685,5,20,458.43,243,HR,Low,68.81,Delayed
P0686,2,12,689.32,314,HR,High,57.0,At Risk
P0687,6,10,311.61,268,Marketing,Low,52.34,At Risk
P0688,2,20,341.0,194,HR,High,53.51,At Risk
P0689,13,3,799.54,116,Finance,High,32.62,On Schedule
P0690,11,10,474.1,170,Marketing,High,26.43,On Schedule
P0691,11,8,808.46,189,Operations,Medium,52.7,At Risk
P0692,16,7,831.3,75,Finance,Low,50.5,At Risk
P0693,11,17,864.68,141,Finance,Low,65.66,At Risk
P0694,19,17,920.8,74,Finance,Low,58.57,At Risk
P0695,15,4,459.44,276,Operations,High,31.95,On Schedule
P0696,16,3,352.92,133,IT,Medium,23.67,On Schedule
P0697,11,13,603.09,114,HR,High,37.27,At Risk
P0698,16,12,402.61,163,Marketing,Low,42.17,At Risk
P0699,8,20,621.02,137,IT,Medium,61.94,At Risk
P0700,4,20,720.31,47,Marketing,Medium,51.65,At Risk
P0701,8,19,703.98,123,HR,Medium,62.75,At Risk
P0702,4,10,405.83,179,Operations,Low,55.85,At Risk
P0703,3,17,208.52,275,Finance,Medium,58.53,At Risk
P0704,3,10,459.0,318,Finance,Medium,67.28,Delayed
P0705,18,19,185.46,238,Operations,High,41.4,At Risk
P0706,19,14,895.59,155,IT,High,34.81,At Risk
P0707,19,10,378.58,264,IT,Medium,38.8,At Risk
P0708,5,16,196.74,151,Marketing,Medium,37.81,At Risk
P0709,18,6,74.18,167,Operations,High,14.35,On Schedule
P0710,10,3,663.53,144,IT,High,30.62,On Schedule
P0711,6,3,655.06,191,Operations,High,45.17,At Risk
P0712,1,18,373.57,230,HR,Low,67.85,Delayed
P0713,5,16,118.13,263,Finance,Low,70.21,Delayed
P0714,9,18,439.15,57,Finance,High,36.83,At Risk
P0715,12,7,345.66,40,Finance,Medium,33.05,At Risk
P0716,14,11,693.26,235,Operations,High,45.65,At Risk
P0717,2,4,625.49,196,Operations,Low,68.36,Delayed
P0718,17,20,396.36,276,Marketing,Medium,42.35,At Risk
P0719,14,8,257.0,76,Finance,Low,32.22,On Schedule
P0720,13,11,988.63,275,Marketing,Medium,67.26,Delayed
P0721,9,3,481.3,156,Finance,Low,45.88,At Risk
P0722,15,11,703.86,176,Marketing,Medium,39.17,At Risk
P0723,15,18,183.53,147,Marketing,Medium,28.92,On Schedule
P0724,11,15,511.31,181,HR,Medium,52.46,At Risk
P0725,16,11,76.16,101,Marketing,Medium,12.76,On Schedule
P0726,17,15,530.18,166,Operations,Low,53.59,At Risk
P0727,4,11,965.82,204,Marketing,Low,68.91,Delayed
P0728,1,13,415.0,318,Finance,Medium,73.07,Delayed
P0729,8,6,87.05,48,Marketing,Medium,14.13,On Schedule
P0730,17,4,79.41,224,IT,Low,34.53,At Risk
P0731,3,8,418.59,359,Finance,Medium,59.89,At Risk
P0732,20,16,202.02,204,IT,Medium,45.2,At Risk
P0733,15,6,72.18,170,Finance,Medium,26.85,On Schedule
P0734,15,8,768.4,275,Operations,High,45.89,At Risk
P0735,14,8,485.6,122,Operations,Medium,42.98,At Risk
P0736,14,4,324.78,268,Operations,High,27.48,On Schedule
P0737,2,20,905.08,234,IT,Medium,84.58,Delayed
P0738,13,15,160.33,77,HR,Low,34.88,At Risk
P0739,14,11,958.12,274,Finance,High,60.43,At Risk
P0740,19,15,348.27,349,Operations,High,41.09,At Risk
P0741,7,13,893.98,346,Finance,Medium,72.53,Delayed
P0742,3,3,622.8,324,IT,Medium,60.21,At Risk
P0743,15,9,835.37,157,HR,High,38.87,At Risk
P0744,14,17,984.81,311,IT,Low,74.5,Delayed
P0745,11,3,323.99,46,Finance,Low,33.08,At Risk
P0746,15,14,963.08,100,HR,Medium,54.11,At Risk
P0747,13,9,420.01,298,HR,Low,57.37,At Risk
P0748,18,17,416.24,354,IT,Low,62.62,At Risk
P0749,6,3,373.37,311,Operations,Medium,47.0,At Risk
P0750,3,19,564.34,334,Finance,Low,95.26,Delayed
P0751,19,19,196.44,36,Marketing,Medium,15.59,On Schedule
P0752,15,5,576.03,343,Marketing,High,36.5,At Risk
P0753,5,14,564.62,334,IT,Medium,60.64,At Risk
P0754,10,8,773.81,132,Finance,High,47.76,At Risk
P0755,7,13,841.97,338,Finance,High,67.67,Delayed
P0756,17,5,468.42,222,IT,Low,45.01,At Risk
P0757,7,10,337.22,270,Finance,Low,74.85,Delayed
P0758,12,16,296.37,91,Operations,Low,44.29,At Risk
P0759,17,16,234.89,46,IT,Medium,34.32,At Risk
P0760,13,12,104.77,200,Operations,Low,43.39,At Risk
P0761,20,4,375.33,54,Finance,High,10.95,On Schedule
P0762,4,16,306.74,280,IT,Low,78.73,Delayed
P0763,10,11,968.1,282,Finance,Low,78.65,Delayed
P0764,3,5,579.82,236,IT,Medium,46.52,At Risk
P0765,9,10,379.91,58,Finance,Medium,38.38,At Risk
P0766,13,18,601.44,146,Operations,High,42.54,At Risk
P0767,18,4,182.24,311,Operations,Medium,36.04,At Risk
P0768,15,8,471.84,173,Finance,Low,49.15,At Risk
P0769,4,14,644.92,54,IT,Medium,57.97,At Risk
P0770,15,7,514.45,339,Marketing,High,39.2,At Risk
P0771,2,4,431.69,185,Operations,Low,50.08,At Risk
P0772,15,18,994.16,102,Operations,High,49.34,At Risk
P0773,8,7,886.3,149,Marketing,Medium,43.81,At Risk
P0774,8,17,642.24,341,Finance,Medium,73.21,Delayed
P0775,17,14,590.91,350,IT,High,45.42,At Risk
P0776,12,6,639.63,122,Finance,Low,60.18,At Risk
P0777,19,17,241.25,115,HR,Medium,26.76,On Schedule
P0778,10,13,425.38,365,Operations,Medium,64.7,At Risk
P0779,9,18,87.49,147,HR,Low,45.39,At Risk
P0780,5,8,501.77,262,Operations,Medium,50.29,At Risk
P0781,6,16,565.87,228,Operations,High,53.86,At Risk
P0782,20,20,266.36,235,HR,Medium,43.6,At Risk
P0783,2,14,965.83,176,HR,Medium,69.13,Delayed
P0784,13,13,913.98,300,Finance,Low,67.23,Delayed
P0785,6,15,736.04,168,HR,High,43.2,At Risk
P0786,5,13,556.72,210,Finance,Low,73.24,Delayed
P0787,1,18,876.47,59,Finance,Medium,62.25,At Risk
P0788,6,17,174.12,86,Finance,Medium,44.43,At Risk
P0789,6,17,800.98,261,Operations,Low,74.86,Delayed
P0790,16,6,168.58,175,Operations,Low,39.21,At Risk
P0791,4,13,804.5,77,HR,Low,64.47,At Risk
P0792,11,17,311.98,223,Operations,High,45.3,At Risk
P0793,9,6,883.24,253,HR,Medium,60.37,At Risk
P0794,3,15,946.84,165,Operations,Low,84.31,Delayed
P0795,19,4,191.36,51,IT,Medium,6.86,On Schedule
P0796,8,16,489.54,35,IT,High,29.01,On Schedule
P0797,5,6,981.94,233,HR,High,55.93,At Risk
P0798,4,18,509.24,268,Operations,High,63.29,At Risk
P0799,6,16,870.37,214,Operations,High,57.33,At Risk
P0800,2,17,609.29,321,Finance,Medium,74.07,Delayed
P0801,20,5,406.56,364,Marketing,High,26.37,On Schedule
P0802,11,10,321.49,249,HR,High,26.89,On Schedule
P0803,4,18,243.06,145,Marketing,Low,47.34,At Risk
P0804,15,12,773.71,342,Marketing,High,43.81,At Risk
P0805,6,6,417.21,78,HR,Low,39.71,At Risk
P0806,17,20,535.71,202,Operations,High,45.39,At Risk
P0807,6,4,517.71,111,HR,High,28.83,On Schedule
P0808,19,19,598.42,351,Marketing,Low,63.68,At Risk
P0809,2,15,872.3,362,Operations,High,72.29,Delayed
P0810,15,6,981.7,74,IT,Medium,41.54,At Risk
P0811,11,13,437.2,364,HR,Medium,51.13,At Risk
P0812,8,9,836.14,49,HR,High,38.28,At Risk
P0813,19,14,776.3,250,Operations,Medium,60.8,At Risk
P0814,13,12,594.85,152,IT,Low,50.33,At Risk
P0815,12,9,958.24,263,IT,High,50.41,At Risk
P0816,5,15,240.45,250,Operations,High,51.07,At Risk
P0817,6,9,153.8,352,Finance,Low,63.57,At Risk
P0818,4,19,861.26,32,HR,Low,67.16,Delayed
P0819,19,12,467.19,211,HR,Low,46.52,At Risk
P0820,20,12,854.62,235,Marketing,High,45.31,At Risk
P0821,1,6,898.44,349,Operations,Low,85.26,Delayed
P0822,20,6,109.33,69,Marketing,Low,18.9,On Schedule
P0823,17,9,889.29,88,Marketing,Medium,38.92,At Risk
P0824,12,3,475.9,91,IT,Medium,25.77,On Schedule
P0825,15,14,534.91,161,HR,High,31.28,On Schedule
P0826,1,15,645.26,89,Marketing,Medium,53.86,At Risk
P0827,14,12,930.06,360,IT,Medium,69.3,Delayed
P0828,6,17,68.16,151,Operations,Low,46.65,At Risk
P0829,5,15,503.0,136,Marketing,Low,63.39,At Risk
P0830,11,11,703.34,125,HR,Medium,48.57,At Risk
P0831,4,11,736.57,264,Marketing,Medium,59.95,At Risk
P0832,13,17,707.91,91,Operations,Medium,48.39,At Risk
P0833,11,12,177.71,285,Marketing,High,32.99,On Schedule
P0834,3,12,334.43,78,HR,High,32.5,On Schedule
P0835,1,10,390.78,188,IT,High,33.05,At Risk
P0836,6,18,814.22,153,HR,Medium,70.34,Delayed
P0837,18,19,314.82,346,IT,Medium,50.91,At Risk
P0838,10,7,250.17,236,Finance,High,34.78,At Risk
P0839,5,6,959.58,77,HR,High,39.51,At Risk
P0840,10,20,58.42,165,HR,Medium,48.49,At Risk
P0841,12,6,997.93,230,Operations,Low,66.26,Delayed
P0842,2,9,692.98,279,Marketing,High,57.76,At Risk
P0843,13,12,837.05,343,IT,Medium,67.56,Delayed
P0844,8,20,329.89,347,IT,Medium,60.77,At Risk
P0845,2,6,63.6,324,Operations,Low,58.04,At Risk
P0846,20,12,750.98,343,Operations,Medium,58.29,At Risk
P0847,1,3,842.44,238,Marketing,Medium,50.58,At Risk
P0848,5,20,753.45,240,Marketing,High,59.54,At Risk
P0849,9,7,185.71,221,HR,High,26.81,On Schedule
P0850,17,17,765.76,73,Finance,Low,59.77,At Risk
P0851,9,19,780.48,58,Marketing,Low,58.11,At Risk
P0852,11,5,675.61,88,Operations,Medium,35.26,At Risk
P0853,15,14,777.81,100,Marketing,High,35.93,At Risk
P0854,6,4,853.63,121,IT,Low,53.25,At Risk
P0855,3,3,632.92,294,Finance,Low,55.94,At Risk
P0856,17,19,134.17,249,HR,Low,50.25,At Risk
P0857,5,18,513.25,244,IT,Medium,60.27,At Risk
P0858,12,7,123.77,306,IT,High,32.26,On Schedule
P0859,18,17,437.17,93,Finance,Low,57.65,At Risk
P0860,14,5,436.75,321,HR,High,43.51,At Risk
P0861,11,9,112.71,274,Operations,Low,49.08,At Risk
P0862,9,13,381.38,91,HR,Low,41.83,At Risk
P0863,2,12,155.45,361,Marketing,High,48.12,At Risk
P0864,12,11,817.82,199,IT,High,43.77,At Risk
P0865,3,16,950.3,298,Marketing,High,67.31,Delayed
P0866,3,15,118.7,296,Operations,Medium,53.54,At Risk
P0867,1,4,957.36,83,Marketing,Low,57.15,At Risk
P0868,8,5,546.45,45,HR,Medium,26.97,On Schedule
P0869,8,9,334.59,37,Marketing,High,22.01,On Schedule
P0870,11,20,123.02,133,Operations,Low,47.79,At Risk
P0871,9,5,525.59,88,Operations,Medium,38.65,At Risk
P0872,5,12,804.79,342,Operations,Low,77.03,Delayed
P0873,14,9,721.73,69,HR,Medium,39.12,At Risk
P0874,3,11,97.71,266,Operations,High,36.61,At Risk
P0875,5,19,119.26,123,IT,Medium,44.66,At Risk
P0876,5,13,432.73,251,Operations,Low,70.72,Delayed
P0877,19,9,330.53,233,Marketing,Low,38.38,At Risk
P0878,14,16,270.77,167,Marketing,Low,39.72,At Risk
P0879,4,6,316.95,329,Marketing,Low,59.05,At Risk
P0880,13,8,813.31,236,HR,High,38.79,At Risk
P0881,10,12,932.77,365,Marketing,Medium,66.78,Delayed
P0882,18,9,434.85,110,HR,High,19.93,On Schedule
P0883,8,15,910.81,247,HR,High,63.5,At Risk
P0884,8,16,355.42,31,Operations,High,30.29,On Schedule
P0885,7,6,502.62,207,IT,Low,54.23,At Risk
P0886,8,10,264.73,308,Operations,Low,63.52,At Risk
P0887,14,7,658.45,175,Operations,Low,52.51,At Risk
P0888,19,3,980.03,347,HR,Medium,56.43,At Risk
P0889,6,6,623.32,253,HR,Low,64.84,At Risk
P0890,1,5,389.92,91,Marketing,Medium,32.12,On Schedule
P0891,15,11,665.43,323,Marketing,Low,46.89,At Risk
P0892,1,10,166.77,268,Operations,Low,57.39,At Risk
P0893,17,3,894.23,224,Finance,High,46.26,At Risk
P0894,1,8,527.93,195,Finance,High,48.27,At Risk
P0895,15,11,476.88,251,Marketing,High,31.55,On Schedule
P0896,2,9,606.57,90,Finance,Medium,56.24,At Risk
P0897,14,6,643.54,158,Marketing,Medium,34.41,At Risk
P0898,8,15,118.19,202,HR,Low,40.69,At Risk
P0899,8,19,698.49,185,Operations,Medium,56.67,At Risk
P0900,19,4,279.84,139,IT,Low,31.62,On Schedule
P0901,7,7,728.26,298,Operations,Medium,61.16,At Risk
P0902,19,14,831.41,307,Marketing,Medium,61.4,At Risk
P0903,6,10,813.76,103,Marketing,Medium,43.43,At Risk
P0904,6,8,574.88,236,Operations,High,44.39,At Risk
P0905,3,10,544.16,308,Marketing,Medium,54.0,At Risk
P0906,7,20,185.73,355,Finance,High,55.94,At Risk
P0907,19,5,786.58,233,Finance,High,30.82,On Schedule
P0908,8,14,307.84,190,Marketing,Medium,40.07,At Risk
P0909,10,5,521.86,57,Marketing,Low,34.74,At Risk
P0910,20,8,320.06,286,Finance,Low,49.19,At Risk
P0911,15,4,177.14,194,Marketing,Low,39.87,At Risk
P0912,15,14,648.08,92,Marketing,Medium,45.02,At Risk
P0913,1,4,101.62,51,Operations,Low,32.99,On Schedule
P0914,20,8,761.21,99,IT,High,16.91,On Schedule
P0915,7,19,351.71,125,Finance,Low,60.77,At Risk
P0916,4,5,50.13,192,Operations,Medium,37.01,At Risk
P0917,6,4,535.57,108,IT,Low,42.52,At Risk
P0918,1,10,94.51,34,Marketing,High,13.98,On Schedule
P0919,5,14,312.36,345,Marketing,Medium,63.44,At Risk
P0920,1,6,721.63,149,Operations,Low,61.7,At Risk
P0921,4,7,109.56,331,Marketing,Medium,46.62,At Risk
P0922,2,15,847.37,207,HR,Medium,62.87,At Risk
P0923,10,17,53.63,205,Operations,Medium,42.99,At Risk
P0924,5,18,284.48,246,IT,Low,63.75,At Risk
P0925,10,12,753.86,85,Operations,Medium,45.09,At Risk
P0926,1,18,350.46,216,Finance,Low,77.65,Delayed
P0927,6,14,146.8,261,Operations,High,36.06,At Risk
